latitude,longitude,description,location,name,category,type,timestamp,color
22.5115,-20.22,Voluptatem Ni,Sit At,Nulla Ab,Corrupt,2,07/03/2004 23:00:45,purple
6.3545,-79.0721,Aliqua Totam,Veniam Ab,Nihil,Corrupt,2,07/03/2004 23:00:45,yellow
-20.729,-78.3441,Ullam Offi,Minus Officia Facere,Tempora,Corrupt,1,06/05/2011 15:32:32,red
-20.729,-71.9129,Voluptatem Ni,Voluptas Aliquid Eaque,Aut,Corrupt,2,02/21/2007 00:05:52,white
29.361,-22.8302,Soluta,Voluptas Aliquid Eaque,Nulla Omnis,Corrupt,1,05/03/2009 04:35:53,black
9.9701,-64.7732,Voluptatem Ni,Non Dolorem Qui,Et,Corrupt,1,07/03/2004 23:00:45,purple
2.535,-24.5359,Soluta,Nostrud Autem,Cupidatat,Corrupt,2,07/01/2009 10:04:06,orange
30.8374,-42.46,Ullam Offi,Non Dolorem Qui,Corrupti Minus,Corrupt,3,04/03/2004 07:53:11,purple
13.6002,16.1616,Soluta,Nostrud Autem,Nihil,Corrupt,2,11/06/2004 18:15:12,yellow
25.5219,-60.7884,Soluta,Voluptas Aliquid Eaque,Nihil,Corrupt,2,07/01/2009 10:04:06,black
-11.0484,2.6916,Ullam Offi,Minus Officia Facere,Nihil,Corrupt,1,10/09/2009 04:06:01,white
-26.0795,-72.7128,Voluptatem Ni,Veniam Ab,Nulla Omnis,Corrupt,1,10/09/2009 04:06:01,white
-2.234,16.1616,Voluptatem Ni,Tempora Cumque,Nulla Ab,Corrupt,1,07/01/2009 10:04:06,black
28.7056,-19.3852,Aliqua Totam,Tempora Cumque,Suscipit Esse,Corrupt,3,04/03/2004 07:53:11,orange
-26.0795,2.6916,Soluta,Saepe Sit,Suscipit Esse,Corrupt,3,07/01/2009 10:04:06,red
-4.3798,-33.6692,Aliqua Totam,Saepe Sit,Nihil,Corrupt,1,11/30/2003 02:49:55,purple
-6.1281,-22.8302,Soluta,Nostrud Autem,Qui,Corrupt,1,12/10/2005 20:04:40,black
-10.3365,-78.3441,Soluta,Sit At,Suscipit Esse,Corrupt,2,04/03/2004 07:53:11,green
38.7232,13.4533,Aliqua Totam,Voluptas Aliquid Eaque,Aut,Corrupt,3,04/03/2004 07:53:11,purple
5.535,27.2374,Voluptatem Ni,Saepe Sit,Aut,Corrupt,2,07/01/2009 10:04:06,white
